sample_id	taxon_id	reads
SRR10484371	52227	1525
SRR10484376	52227	3472
SRR10484377	52227	29555
SRR10484382	52227	5388
SRR10484388	52227	470
SRR10484393	52227	2450
SRR10484399	52227	209
SRR10484404	52227	1588
SRR10484410	52227	230
SRR10484415	52227	2275
SRR10484421	52227	753
SRR10484426	52227	30
SRR10484431	52227	30
SRR10484432	52227	272
SRR10484437	52227	58
SRR10484443	52227	2210
SRR10484448	52227	1032
SRR10484454	52227	620
SRR10484459	52227	1079
SRR10484371	28132	1457
SRR10484376	28132	2611
SRR10484377	28132	17188
SRR10484382	28132	1706
SRR10484388	28132	725
SRR10484393	28132	822
SRR10484399	28132	88
SRR10484404	28132	314
SRR10484410	28132	67
SRR10484415	28132	1084
SRR10484421	28132	331
SRR10484426	28132	319
SRR10484431	28132	829
SRR10484432	28132	1219
SRR10484437	28132	220
SRR10484443	28132	517
SRR10484448	28132	75
SRR10484454	28132	1132
SRR10484459	28132	533
SRR10484371	839	977
SRR10484376	839	6310
SRR10484377	839	43779
SRR10484382	839	4968
SRR10484388	839	298
SRR10484393	839	1815
SRR10484399	839	115
SRR10484404	839	755
SRR10484410	839	185
SRR10484415	839	3241
SRR10484421	839	781
SRR10484426	839	22
SRR10484431	839	27
SRR10484432	839	464
SRR10484437	839	65
SRR10484443	839	1092
SRR10484448	839	518
SRR10484454	839	719
SRR10484459	839	924
SRR10484371	76123	908
SRR10484376	76123	1855
SRR10484377	76123	11811
SRR10484382	76123	1995
SRR10484388	76123	176
SRR10484393	76123	823
SRR10484399	76123	77
SRR10484404	76123	231
SRR10484410	76123	58
SRR10484415	76123	1009
SRR10484421	76123	266
SRR10484426	76123	31
SRR10484431	76123	24
SRR10484432	76123	181
SRR10484437	76123	30
SRR10484443	76123	594
SRR10484448	76123	221
SRR10484454	76123	217
SRR10484459	76123	279
SRR10484371	28129	626
SRR10484376	28129	2604
SRR10484377	28129	16545
SRR10484382	28129	3575
SRR10484388	28129	300
SRR10484393	28129	1439
SRR10484399	28129	69
SRR10484404	28129	678
SRR10484410	28129	57
SRR10484415	28129	1174
SRR10484421	28129	674
SRR10484426	28129	69
SRR10484431	28129	94
SRR10484432	28129	967
SRR10484437	28129	80
SRR10484443	28129	784
SRR10484448	28129	240
SRR10484454	28129	368
SRR10484459	28129	538
SRR10484371	589437	445
SRR10484376	589437	2671
SRR10484377	589437	16512
SRR10484382	589437	2035
SRR10484388	589437	114
SRR10484393	589437	673
SRR10484399	589437	19
SRR10484404	589437	249
SRR10484410	589437	75
SRR10484415	589437	907
SRR10484421	589437	293
SRR10484426	589437	114
SRR10484431	589437	109
SRR10484432	589437	469
SRR10484437	589437	58
SRR10484443	589437	448
SRR10484448	589437	81
SRR10484454	589437	405
SRR10484459	589437	305
SRR10484371	589436	403
SRR10484376	589436	3843
SRR10484377	589436	26462
SRR10484382	589436	2633
SRR10484388	589436	122
SRR10484393	589436	1135
SRR10484399	589436	56
SRR10484404	589436	300
SRR10484410	589436	73
SRR10484415	589436	1589
SRR10484421	589436	274
SRR10484426	589436	84
SRR10484431	589436	60
SRR10484432	589436	351
SRR10484437	589436	38
SRR10484443	589436	411
SRR10484448	589436	184
SRR10484454	589436	472
SRR10484459	589436	362
SRR10484371	652716	303
SRR10484376	652716	2167
SRR10484377	652716	15572
SRR10484382	652716	1804
SRR10484388	652716	98
SRR10484393	652716	658
SRR10484399	652716	40
SRR10484404	652716	183
SRR10484410	652716	47
SRR10484415	652716	1441
SRR10484421	652716	104
SRR10484426	652716	46
SRR10484431	652716	108
SRR10484432	652716	168
SRR10484437	652716	27
SRR10484443	652716	262
SRR10484448	652716	24
SRR10484454	652716	246
SRR10484459	652716	182
SRR10484371	1177574	270
SRR10484376	1177574	1929
SRR10484377	1177574	16648
SRR10484382	1177574	1679
SRR10484388	1177574	135
SRR10484393	1177574	640
SRR10484399	1177574	41
SRR10484404	1177574	330
SRR10484410	1177574	87
SRR10484415	1177574	988
SRR10484421	1177574	212
SRR10484426	1177574	88
SRR10484431	1177574	137
SRR10484432	1177574	2882
SRR10484437	1177574	32
SRR10484443	1177574	833
SRR10484448	1177574	114
SRR10484454	1177574	298
SRR10484459	1177574	276
SRR10484371	397865	5365
SRR10484376	397865	600
SRR10484377	397865	8586
SRR10484382	397865	1685
SRR10484388	397865	2164
SRR10484393	397865	732
SRR10484399	397865	257
SRR10484404	397865	3278
SRR10484410	397865	2502
SRR10484415	397865	5177
SRR10484421	397865	3231
SRR10484426	397865	103
SRR10484431	397865	144
SRR10484432	397865	56
SRR10484437	397865	183
SRR10484443	397865	11057
SRR10484448	397865	11652
SRR10484454	397865	266
SRR10484459	397865	467
SRR10484371	1796646	3441
SRR10484376	1796646	319
SRR10484377	1796646	1829
SRR10484382	1796646	1414
SRR10484388	1796646	1238
SRR10484393	1796646	610
SRR10484399	1796646	211
SRR10484404	1796646	3560
SRR10484410	1796646	243
SRR10484415	1796646	2042
SRR10484421	1796646	1050
SRR10484426	1796646	14
SRR10484431	1796646	38
SRR10484432	1796646	26
SRR10484437	1796646	13
