accession	strain	sample_id	reads
AJP77076	Pedobacter sp. Stok-3	507_t1	0
AJP77076	Pedobacter sp. Stok-3	519_t3	0
AJP77076	Pedobacter sp. Stok-3	510_t2	0
AJP77076	Pedobacter sp. Stok-3	532_t0	36
AJP77076	Pedobacter sp. Stok-3	534_t1	0
AJP77076	Pedobacter sp. Stok-3	511_t0	5
AJP77076	Pedobacter sp. Stok-3	508_t3	0
AAK63040.1	Escherichia coli	508_t0	0
AAK63040.1	Escherichia coli	519_t2	14
AAK63040.1	Escherichia coli	524_t3	0
AAK63040.1	Escherichia coli	522_t3	0
AAK63040.1	Escherichia coli	518_t3	0
AAK63040.1	Escherichia coli	504_t1	1
AAK63040.1	Escherichia coli	517_t3	0
AAK63040.1	Escherichia coli	519_t1	16
AAK63040.1	Escherichia coli	519_t0	3
AAK63040.1	Escherichia coli	507_t0	0
AAK63040.1	Escherichia coli	517_t2	0
AAK63040.1	Escherichia coli	506_t2	0
AAK63040.1	Escherichia coli	538_t2	0
AAK63040.1	Escherichia coli	528_t1	0
AAK63040.1	Escherichia coli	504_t3	0
AAK63040.1	Escherichia coli	517_t0	0
AAK63040.1	Escherichia coli	537_t1	1
AAK63040.1	Escherichia coli	505_t0	0
AAK63040.1	Escherichia coli	537_t3	0
AAK63040.1	Escherichia coli	512_t0	20
AAK63040.1	Escherichia coli	532_t3	0
AAK63040.1	Escherichia coli	505_t3	0
AAK63040.1	Escherichia coli	506_t3	0
AAK63040.1	Escherichia coli	516_t3	0
AAK63040.1	Escherichia coli	516_t2	1
AAK63040.1	Escherichia coli	524_t2	0
AAK63040.1	Escherichia coli	534_t2	0
AAK63040.1	Escherichia coli	512_t1	0
AAK63040.1	Escherichia coli	523_t1	77
AAK63040.1	Escherichia coli	538_t3	0
AAK63040.1	Escherichia coli	506_t1	0
AAK63040.1	Escherichia coli	523_t2	5
AAK63040.1	Escherichia coli	511_t2	0
AAK63040.1	Escherichia coli	512_t3	0
AAK63040.1	Escherichia coli	511_t3	0
AAK63040.1	Escherichia coli	504_t0	4
AAK63040.1	Escherichia coli	505_t2	0
AAK63040.1	Escherichia coli	538_t1	0
AAK63040.1	Escherichia coli	532_t2	0
AAK63040.1	Escherichia coli	518_t1	0
AAK63040.1	Escherichia coli	505_t1	0
AAK63040.1	Escherichia coli	512_t2	1
AAK63040.1	Escherichia coli	507_t3	0
AAK63040.1	Escherichia coli	516_t0	0
AAK63040.1	Escherichia coli	532_t1	0
AAK63040.1	Escherichia coli	522_t2	0
AAK63040.1	Escherichia coli	504_t2	2
AAK63040.1	Escherichia coli	507_t2	0
AAK63040.1	Escherichia coli	528_t3	0
AAK63040.1	Escherichia coli	534_t0	0
AAK63040.1	Escherichia coli	537_t2	0
AAK63040.1	Escherichia coli	506_t0	0
AAK63040.1	Escherichia coli	517_t1	0
AAK63040.1	Escherichia coli	508_t2	0
AAK63040.1	Escherichia coli	516_t1	0
AAK63040.1	Escherichia coli	537_t0	1
AAK63040.1	Escherichia coli	518_t2	0
AAK63040.1	Escherichia coli	522_t1	0
AAK63040.1	Escherichia coli	524_t1	0
AAK63040.1	Escherichia coli	522_t0	0
AAK63040.1	Escherichia coli	538_t0	0
AAK63040.1	Escherichia coli	510_t3	2
AAK63040.1	Escherichia coli	510_t1	14
AAK63040.1	Escherichia coli	528_t0	0
AAK63040.1	Escherichia coli	534_t3	0
AAK63040.1	Escherichia coli	523_t3	0
AAK63040.1	Escherichia coli	511_t1	0
AAK63040.1	Escherichia coli	518_t0	1
AAK63040.1	Escherichia coli	523_t0	33
AAK63040.1	Escherichia coli	524_t0	44
AAK63040.1	Escherichia coli	528_t2	0
AAK63040.1	Escherichia coli	508_t1	0
AAK63040.1	Escherichia coli	510_t0	10
AAK63040.1	Escherichia coli	507_t1	0
AAK63040.1	Escherichia coli	519_t3	0
AAK63040.1	Escherichia coli	510_t2	14
AAK63040.1	Escherichia coli	532_t0	0
AAK63040.1	Escherichia coli	534_t1	0
AAK63040.1	Escherichia coli	511_t0	0
AAK63040.1	Escherichia coli	508_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	508_t0	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	519_t2	39
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	524_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	522_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	518_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	504_t1	19
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	517_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	519_t1	76
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	519_t0	108
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	507_t0	4
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	517_t2	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	506_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	538_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	528_t1	4
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	504_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	517_t0	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	537_t1	9
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	505_t0	5
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	537_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	512_t0	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	532_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	505_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	506_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	516_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	516_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	524_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	534_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	512_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	523_t1	2
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	538_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	506_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	523_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	511_t2	2
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	512_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	511_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	504_t0	19
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	505_t2	4
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	538_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	532_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	518_t1	12
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	505_t1	7
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	512_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	507_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	516_t0	56
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	532_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	522_t2	2
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	504_t2	4
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	507_t2	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	528_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	534_t0	18
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	537_t2	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	506_t0	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	517_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	508_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	516_t1	8
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	537_t0	59
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	518_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	522_t1	2
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	524_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	522_t0	13
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	538_t0	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	510_t3	124
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	510_t1	78
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	528_t0	3
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	534_t3	30
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	523_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	511_t1	43
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	518_t0	12
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	523_t0	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	524_t0	19
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	528_t2	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	508_t1	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	510_t0	96
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	507_t1	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	519_t3	0
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	510_t2	87
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	532_t0	1
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	534_t1	7
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	511_t0	187
CAA63714.1	Salmonella enterica subsp. enterica serovar Typhimurium	508_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	508_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	519_t2	1
EGP45232.2	Achromobacter insuavis AXX-A	524_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	522_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	518_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	504_t1	4
EGP45232.2	Achromobacter insuavis AXX-A	517_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	519_t1	7
EGP45232.2	Achromobacter insuavis AXX-A	519_t0	1
EGP45232.2	Achromobacter insuavis AXX-A	507_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	517_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	506_t2	6
EGP45232.2	Achromobacter insuavis AXX-A	538_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	528_t1	4
EGP45232.2	Achromobacter insuavis AXX-A	504_t3	4
EGP45232.2	Achromobacter insuavis AXX-A	517_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	537_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	505_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	537_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	512_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	532_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	505_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	506_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	516_t3	3
EGP45232.2	Achromobacter insuavis AXX-A	516_t2	2
EGP45232.2	Achromobacter insuavis AXX-A	524_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	534_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	512_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	523_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	538_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	506_t1	1
EGP45232.2	Achromobacter insuavis AXX-A	523_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	511_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	512_t3	4
EGP45232.2	Achromobacter insuavis AXX-A	511_t3	1
EGP45232.2	Achromobacter insuavis AXX-A	504_t0	1
EGP45232.2	Achromobacter insuavis AXX-A	505_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	538_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	532_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	518_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	505_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	512_t2	4
EGP45232.2	Achromobacter insuavis AXX-A	507_t3	14
EGP45232.2	Achromobacter insuavis AXX-A	516_t0	6
EGP45232.2	Achromobacter insuavis AXX-A	532_t1	2
EGP45232.2	Achromobacter insuavis AXX-A	522_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	504_t2	2
EGP45232.2	Achromobacter insuavis AXX-A	507_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	528_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	534_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	537_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	506_t0	8
EGP45232.2	Achromobacter insuavis AXX-A	517_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	508_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	516_t1	3
EGP45232.2	Achromobacter insuavis AXX-A	537_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	518_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	522_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	524_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	522_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	538_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	510_t3	12
EGP45232.2	Achromobacter insuavis AXX-A	510_t1	21
EGP45232.2	Achromobacter insuavis AXX-A	528_t0	3
EGP45232.2	Achromobacter insuavis AXX-A	534_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	523_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	511_t1	1
EGP45232.2	Achromobacter insuavis AXX-A	518_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	523_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	524_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	528_t2	0
EGP45232.2	Achromobacter insuavis AXX-A	508_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	510_t0	22
EGP45232.2	Achromobacter insuavis AXX-A	507_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	519_t3	0
EGP45232.2	Achromobacter insuavis AXX-A	510_t2	25
EGP45232.2	Achromobacter insuavis AXX-A	532_t0	3
EGP45232.2	Achromobacter insuavis AXX-A	534_t1	0
EGP45232.2	Achromobacter insuavis AXX-A	511_t0	0
EGP45232.2	Achromobacter insuavis AXX-A	508_t3	0
CAE51638.1	Serratia marcescens	508_t0	0
CAE51638.1	Serratia marcescens	519_t2	11
CAE51638.1	Serratia marcescens	524_t3	0
CAE51638.1	Serratia marcescens	522_t3	0
CAE51638.1	Serratia marcescens	518_t3	1
CAE51638.1	Serratia marcescens	504_t1	0
CAE51638.1	Serratia marcescens	517_t3	0
CAE51638.1	Serratia marcescens	519_t1	8
CAE51638.1	Serratia marcescens	519_t0	1
CAE51638.1	Serratia marcescens	507_t0	9
CAE51638.1	Serratia marcescens	517_t2	0
CAE51638.1	Serratia marcescens	506_t2	0
CAE51638.1	Serratia marcescens	538_t2	0
CAE51638.1	Serratia marcescens	528_t1	50
CAE51638.1	Serratia marcescens	504_t3	0
CAE51638.1	Serratia marcescens	517_t0	0
CAE51638.1	Serratia marcescens	537_t1	0
CAE51638.1	Serratia marcescens	505_t0	0
CAE51638.1	Serratia marcescens	537_t3	0
CAE51638.1	Serratia marcescens	512_t0	0
CAE51638.1	Serratia marcescens	532_t3	0
CAE51638.1	Serratia marcescens	505_t3	1
CAE51638.1	Serratia marcescens	506_t3	0
CAE51638.1	Serratia marcescens	516_t3	0
CAE51638.1	Serratia marcescens	516_t2	0
CAE51638.1	Serratia marcescens	524_t2	0
CAE51638.1	Serratia marcescens	534_t2	0
CAE51638.1	Serratia marcescens	512_t1	0
CAE51638.1	Serratia marcescens	523_t1	0
CAE51638.1	Serratia marcescens	538_t3	0
CAE51638.1	Serratia marcescens	506_t1	0
CAE51638.1	Serratia marcescens	523_t2	0
CAE51638.1	Serratia marcescens	511_t2	0
CAE51638.1	Serratia marcescens	512_t3	0
CAE51638.1	Serratia marcescens	511_t3	0
CAE51638.1	Serratia marcescens	504_t0	1
CAE51638.1	Serratia marcescens	505_t2	0
CAE51638.1	Serratia marcescens	538_t1	0
CAE51638.1	Serratia marcescens	532_t2	0
CAE51638.1	Serratia marcescens	518_t1	0
CAE51638.1	Serratia marcescens	505_t1	0
CAE51638.1	Serratia marcescens	512_t2	0
CAE51638.1	Serratia marcescens	507_t3	0
CAE51638.1	Serratia marcescens	516_t0	0
CAE51638.1	Serratia marcescens	532_t1	0
CAE51638.1	Serratia marcescens	522_t2	0
CAE51638.1	Serratia marcescens	504_t2	0
CAE51638.1	Serratia marcescens	507_t2	0
CAE51638.1	Serratia marcescens	528_t3	0
CAE51638.1	Serratia marcescens	534_t0	0
CAE51638.1	Serratia marcescens	537_t2	0
CAE51638.1	Serratia marcescens	506_t0	0
CAE51638.1	Serratia marcescens	517_t1	0
CAE51638.1	Serratia marcescens	508_t2	0
CAE51638.1	Serratia marcescens	516_t1	0
CAE51638.1	Serratia marcescens	537_t0	0
CAE51638.1	Serratia marcescens	518_t2	0
CAE51638.1	Serratia marcescens	522_t1	2
CAE51638.1	Serratia marcescens	524_t1	0
CAE51638.1	Serratia marcescens	522_t0	0
CAE51638.1	Serratia marcescens	538_t0	0
CAE51638.1	Serratia marcescens	510_t3	0
CAE51638.1	Serratia marcescens	510_t1	0
CAE51638.1	Serratia marcescens	528_t0	82
CAE51638.1	Serratia marcescens	534_t3	0
CAE51638.1	Serratia marcescens	523_t3	0
CAE51638.1	Serratia marcescens	511_t1	0
CAE51638.1	Serratia marcescens	518_t0	0
CAE51638.1	Serratia marcescens	523_t0	0
CAE51638.1	Serratia marcescens	524_t0	0
CAE51638.1	Serratia marcescens	528_t2	0
CAE51638.1	Serratia marcescens	508_t1	0
CAE51638.1	Serratia marcescens	510_t0	0
CAE51638.1	Serratia marcescens	507_t1	0
CAE51638.1	Serratia marcescens	519_t3	0
CAE51638.1	Serratia marcescens	510_t2	0
CAE51638.1	Serratia marcescens	532_t0	0
CAE51638.1	Serratia marcescens	534_t1	0
CAE51638.1	Serratia marcescens	511_t0	0
CAE51638.1	Serratia marcescens	508_t3	0
AAD23513.1	Prevotella intermedia	508_t0	0
AAD23513.1	Prevotella intermedia	519_t2	32
AAD23513.1	Prevotella intermedia	524_t3	1499
AAD23513.1	Prevotella intermedia	522_t3	7580
AAD23513.1	Prevotella intermedia	518_t3	1259
AAD23513.1	Prevotella intermedia	504_t1	459
AAD23513.1	Prevotella intermedia	517_t3	7697
AAD23513.1	Prevotella intermedia	519_t1	575
AAD23513.1	Prevotella intermedia	519_t0	928
AAD23513.1	Prevotella intermedia	507_t0	2146
AAD23513.1	Prevotella intermedia	517_t2	7099
AAD23513.1	Prevotella intermedia	506_t2	9
AAD23513.1	Prevotella intermedia	538_t2	0
AAD23513.1	Prevotella intermedia	528_t1	51
AAD23513.1	Prevotella intermedia	504_t3	0
AAD23513.1	Prevotella intermedia	517_t0	5065
AAD23513.1	Prevotella intermedia	537_t1	223
AAD23513.1	Prevotella intermedia	505_t0	137
AAD23513.1	Prevotella intermedia	537_t3	31
AAD23513.1	Prevotella intermedia	512_t0	0
AAD23513.1	Prevotella intermedia	532_t3	2371
AAD23513.1	Prevotella intermedia	505_t3	0
AAD23513.1	Prevotella intermedia	506_t3	0
AAD23513.1	Prevotella intermedia	516_t3	0
AAD23513.1	Prevotella intermedia	516_t2	1
AAD23513.1	Prevotella intermedia	524_t2	931
AAD23513.1	Prevotella intermedia	534_t2	6758
AAD23513.1	Prevotella intermedia	512_t1	0
AAD23513.1	Prevotella intermedia	523_t1	0
AAD23513.1	Prevotella intermedia	538_t3	352
AAD23513.1	Prevotella intermedia	506_t1	86
AAD23513.1	Prevotella intermedia	523_t2	1
AAD23513.1	Prevotella intermedia	511_t2	1
AAD23513.1	Prevotella intermedia	512_t3	0
AAD23513.1	Prevotella intermedia	511_t3	1
AAD23513.1	Prevotella intermedia	504_t0	501
AAD23513.1	Prevotella intermedia	505_t2	9
AAD23513.1	Prevotella intermedia	538_t1	134
AAD23513.1	Prevotella intermedia	532_t2	1700
AAD23513.1	Prevotella intermedia	518_t1	610
AAD23513.1	Prevotella intermedia	505_t1	35
AAD23513.1	Prevotella intermedia	512_t2	0
AAD23513.1	Prevotella intermedia	507_t3	2877
AAD23513.1	Prevotella intermedia	516_t0	0
AAD23513.1	Prevotella intermedia	532_t1	994
AAD23513.1	Prevotella intermedia	522_t2	2101
AAD23513.1	Prevotella intermedia	504_t2	3
AAD23513.1	Prevotella intermedia	507_t2	407
AAD23513.1	Prevotella intermedia	528_t3	2
AAD23513.1	Prevotella intermedia	534_t0	3699
AAD23513.1	Prevotella intermedia	537_t2	6
AAD23513.1	Prevotella intermedia	506_t0	167
AAD23513.1	Prevotella intermedia	517_t1	6434
AAD23513.1	Prevotella intermedia	508_t2	0
AAD23513.1	Prevotella intermedia	516_t1	0
AAD23513.1	Prevotella intermedia	537_t0	398
AAD23513.1	Prevotella intermedia	518_t2	1742
AAD23513.1	Prevotella intermedia	522_t1	1549
AAD23513.1	Prevotella intermedia	524_t1	839
AAD23513.1	Prevotella intermedia	522_t0	814
AAD23513.1	Prevotella intermedia	538_t0	471
AAD23513.1	Prevotella intermedia	510_t3	890
AAD23513.1	Prevotella intermedia	510_t1	189
AAD23513.1	Prevotella intermedia	528_t0	159
AAD23513.1	Prevotella intermedia	534_t3	4748
AAD23513.1	Prevotella intermedia	523_t3	0
AAD23513.1	Prevotella intermedia	511_t1	685
AAD23513.1	Prevotella intermedia	518_t0	204
AAD23513.1	Prevotella intermedia	523_t0	0
AAD23513.1	Prevotella intermedia	524_t0	5175
AAD23513.1	Prevotella intermedia	528_t2	0
AAD23513.1	Prevotella intermedia	508_t1	0
AAD23513.1	Prevotella intermedia	510_t0	239
AAD23513.1	Prevotella intermedia	507_t1	505
AAD23513.1	Prevotella intermedia	519_t3	0
AAD23513.1	Prevotella intermedia	510_t2	460
AAD23513.1	Prevotella intermedia	532_t0	368
AAD23513.1	Prevotella intermedia	534_t1	11760
AAD23513.1	Prevotella intermedia	511_t0	558
AAD23513.1	Prevotella intermedia	508_t3	0
AAM09852.1	Enterococcus faecium	508_t0	0
AAM09852.1	Enterococcus faecium	519_t2	18
AAM09852.1	Enterococcus faecium	524_t3	0
AAM09852.1	Enterococcus faecium	522_t3	4
AAM09852.1	Enterococcus faecium	518_t3	0
AAM09852.1	Enterococcus faecium	504_t1	3
AAM09852.1	Enterococcus faecium	517_t3	0
AAM09852.1	Enterococcus faecium	519_t1	13
AAM09852.1	Enterococcus faecium	519_t0	2
AAM09852.1	Enterococcus faecium	507_t0	1
AAM09852.1	Enterococcus faecium	517_t2	0
AAM09852.1	Enterococcus faecium	506_t2	11
AAM09852.1	Enterococcus faecium	538_t2	0
AAM09852.1	Enterococcus faecium	528_t1	14
AAM09852.1	Enterococcus faecium	504_t3	13
AAM09852.1	Enterococcus faecium	517_t0	0
AAM09852.1	Enterococcus faecium	537_t1	27
AAM09852.1	Enterococcus faecium	505_t0	1
AAM09852.1	Enterococcus faecium	537_t3	12
AAM09852.1	Enterococcus faecium	512_t0	2
AAM09852.1	Enterococcus faecium	532_t3	1
AAM09852.1	Enterococcus faecium	505_t3	0
AAM09852.1	Enterococcus faecium	506_t3	0
AAM09852.1	Enterococcus faecium	516_t3	0
AAM09852.1	Enterococcus faecium	516_t2	3
AAM09852.1	Enterococcus faecium	524_t2	0
AAM09852.1	Enterococcus faecium	534_t2	3
AAM09852.1	Enterococcus faecium	512_t1	2
AAM09852.1	Enterococcus faecium	523_t1	0
AAM09852.1	Enterococcus faecium	538_t3	0
AAM09852.1	Enterococcus faecium	506_t1	6
AAM09852.1	Enterococcus faecium	523_t2	0
AAM09852.1	Enterococcus faecium	511_t2	0
AAM09852.1	Enterococcus faecium	512_t3	0
AAM09852.1	Enterococcus faecium	511_t3	0
AAM09852.1	Enterococcus faecium	504_t0	8
AAM09852.1	Enterococcus faecium	505_t2	0
AAM09852.1	Enterococcus faecium	538_t1	0
AAM09852.1	Enterococcus faecium	532_t2	3
AAM09852.1	Enterococcus faecium	518_t1	1
AAM09852.1	Enterococcus faecium	505_t1	5
AAM09852.1	Enterococcus faecium	512_t2	1
AAM09852.1	Enterococcus faecium	507_t3	3
AAM09852.1	Enterococcus faecium	516_t0	14
AAM09852.1	Enterococcus faecium	532_t1	5
AAM09852.1	Enterococcus faecium	522_t2	1
AAM09852.1	Enterococcus faecium	504_t2	1
AAM09852.1	Enterococcus faecium	507_t2	0
AAM09852.1	Enterococcus faecium	528_t3	1
AAM09852.1	Enterococcus faecium	534_t0	0
AAM09852.1	Enterococcus faecium	537_t2	36
AAM09852.1	Enterococcus faecium	506_t0	21
AAM09852.1	Enterococcus faecium	517_t1	0
AAM09852.1	Enterococcus faecium	508_t2	1
AAM09852.1	Enterococcus faecium	516_t1	10
AAM09852.1	Enterococcus faecium	537_t0	1
AAM09852.1	Enterococcus faecium	518_t2	7
AAM09852.1	Enterococcus faecium	522_t1	1
AAM09852.1	Enterococcus faecium	524_t1	0
AAM09852.1	Enterococcus faecium	522_t0	0
AAM09852.1	Enterococcus faecium	538_t0	0
AAM09852.1	Enterococcus faecium	510_t3	64
AAM09852.1	Enterococcus faecium	510_t1	52
AAM09852.1	Enterococcus faecium	528_t0	6
AAM09852.1	Enterococcus faecium	534_t3	2
AAM09852.1	Enterococcus faecium	523_t3	0
AAM09852.1	Enterococcus faecium	511_t1	0
AAM09852.1	Enterococcus faecium	518_t0	1
AAM09852.1	Enterococcus faecium	523_t0	1
AAM09852.1	Enterococcus faecium	524_t0	0
AAM09852.1	Enterococcus faecium	528_t2	0
AAM09852.1	Enterococcus faecium	508_t1	5
AAM09852.1	Enterococcus faecium	510_t0	71
AAM09852.1	Enterococcus faecium	507_t1	0
AAM09852.1	Enterococcus faecium	519_t3	0
AAM09852.1	Enterococcus faecium	510_t2	80
AAM09852.1	Enterococcus faecium	532_t0	12
AAM09852.1	Enterococcus faecium	534_t1	2
AAM09852.1	Enterococcus faecium	511_t0	1
AAM09852.1	Enterococcus faecium	508_t3	0
CAX16467.1	uncultured bacterium	508_t0	0
CAX16467.1	uncultured bacterium	519_t2	20
CAX16467.1	uncultured bacterium	524_t3	0
CAX16467.1	uncultured bacterium	522_t3	18
CAX16467.1	uncultured bacterium	518_t3	7
CAX16467.1	uncultured bacterium	504_t1	19
CAX16467.1	uncultured bacterium	517_t3	0
CAX16467.1	uncultured bacterium	519_t1	26
CAX16467.1	uncultured bacterium	519_t0	17
CAX16467.1	uncultured bacterium	507_t0	27
CAX16467.1	uncultured bacterium	517_t2	0
CAX16467.1	uncultured bacterium	506_t2	6
CAX16467.1	uncultured bacterium	538_t2	0
